"Itineraries\Items\Start time","Itineraries\Items\Name","Name","Itineraries\Items\Program\Locations\Name","QUERYRECID"
"5:30 PM","School Lunch","Monroe Science Club - Garcia","Innovation Hallway","a7b8c9d0-e1f2-3456-0123-4567890abc07"
"6:00 PM","School SCI Exploration","Jackson Astronomy Club - Thompson","Full Facility","b8c9d0e1-f2a3-4567-1234-567890abcd08"
"6:30 PM","Iowa Skies Tonight","Monroe Science Club - Garcia","Star Theater Planetarium","a7b8c9d0-e1f2-3456-0123-4567890abc07"
"7:00 PM","School Lunch","Jackson Astronomy Club - Thompson","Innovation Hallway","b8c9d0e1-f2a3-4567-1234-567890abcd08"
"7:00 PM","Fireworks!","Monroe Science Club - Garcia","SCI Live Theater","a7b8c9d0-e1f2-3456-0123-4567890abc07"
"7:30 PM","Iowa Skies Tonight","Jackson Astronomy Club - Thompson","Star Theater Planetarium","b8c9d0e1-f2a3-4567-1234-567890abcd08"
"7:30 PM","SCI Live Show","Monroe Science Club - Garcia","SCI Live Theater","a7b8c9d0-e1f2-3456-0123-4567890abc07"
"8:00 PM","School SCI Exploration","Harrison Scout Troop 42 - Lee","Full Facility","c9d0e1f2-a3b4-5678-2345-67890abcde09"
"8:30 PM","Solar System Adventure","Jackson Astronomy Club - Thompson","Star Theater Planetarium","b8c9d0e1-f2a3-4567-1234-567890abcd08"
"9:00 PM","School Lunch","Harrison Scout Troop 42 - Lee","Innovation Hallway","c9d0e1f2-a3b4-5678-2345-67890abcde09"
"9:30 PM","Zula Patrol: Under the Weather","Harrison Scout Troop 42 - Lee","Star Theater Planetarium","c9d0e1f2-a3b4-5678-2345-67890abcde09"
"9:30 PM","Night Sky Tour","Jackson Astronomy Club - Thompson","Star Theater Planetarium","b8c9d0e1-f2a3-4567-1234-567890abcd08"
"10:00 PM","School SCI Exploration","Polk Night Owls Camp - Harris","Full Facility","d0e1f2a3-b4c5-6789-3456-7890abcdef10"
"10:30 PM","Night Sky Tour","Harrison Scout Troop 42 - Lee","Star Theater Planetarium","c9d0e1f2-a3b4-5678-2345-67890abcde09"
"11:00 PM","School Lunch","Polk Night Owls Camp - Harris","Innovation Hallway","d0e1f2a3-b4c5-6789-3456-7890abcdef10"
"11:30 PM","Iowa Skies Tonight","Harrison Scout Troop 42 - Lee","Star Theater Planetarium","c9d0e1f2-a3b4-5678-2345-67890abcde09"
"11:30 PM","Solar System Adventure","Polk Night Owls Camp - Harris","Star Theater Planetarium","d0e1f2a3-b4c5-6789-3456-7890abcdef10"
"1:30 AM","Iowa Skies Tonight","Polk Night Owls Camp - Harris","Star Theater Planetarium","d0e1f2a3-b4c5-6789-3456-7890abcdef10"
"2:30 AM","Fireworks!","Polk Night Owls Camp - Harris","SCI Live Theater","d0e1f2a3-b4c5-6789-3456-7890abcdef10"
"5:00 AM","Wonder of Water","Polk Night Owls Camp - Harris","Full Facility","d0e1f2a3-b4c5-6789-3456-7890abcdef10"
"7:30 AM","Meet Stuffee Program","Polk Night Owls Camp - Harris","Star Theater Planetarium","d0e1f2a3-b4c5-6789-3456-7890abcdef10"
